Palmeiras;BRA;89;Allianz Parque;Abel Ferreira;PRT;006533;FFFFFF;43500
Carlos Miguel;G;BRA;N;27;E;S;Ref;Imp;1
Marcelo Lomba;G;BRA;N;39;D;N;Rbo;Con;0
Agustín Giay;L;ARG;N;22;D;S;Des;Res;0
Arthur Gabriel;L;BRA;N;20;E;N;Cru;Vel;0
Jefté;L;BRA;N;22;E;N;Mar;Agi;0
Joaquín Piquerez;L;URY;N;27;E;N;Pas;For;0
Khellven;L;BRA;N;25;D;S;Cru;Vel;0
Alexander Barboza;Z;ARG;N;31;E;N;Ant;Imp;0
Bruno Fuchs;Z;BRA;N;27;D;N;Ant;Imp;0
Gustavo Gómez;Z;PRY;S;33;D;S;Ant;Imp;4
Luis Benedetti;Z;BRA;N;20;E;N;Mar;Vel;0
Murilo;Z;BRA;N;29;D;S;Cab;Imp;0
Emiliano Martínez;V;URY;N;26;D;N;Ant;Vis;0
Lucas Evangelista;V;BRA;N;31;E;N;Pas;Vis;0
Luis Pacheco;V;BRA;N;18;D;N;Des;Agi;0
Marlon Freitas;V;BRA;N;31;D;S;Pas;For;0
Andreas Pereira;M;BRA;N;30;D;S;Chu;Vis;2
Erick Belé;M;BRA;N;19;E;N;Pas;Agi;0
Felipe Anderson;M;BRA;N;33;D;N;Chu;Vis;0
Larson;M;BRA;N;21;D;N;Dri;Agi;0
Mauricio;M;PRY;N;25;E;S;Pas;Agi;0
Jhon Arias;P;COL;S;28;D;S;Pas;Agi;5
Paulinho;P;BRA;N;26;D;N;Dri;Agi;0
Ramón Sosa;P;PRY;N;26;D;S;Fin;Agi;0
Riquelme Fillipi;P;BRA;N;19;D;N;Dri;Agi;0
Flaco López;A;ARG;N;25;E;S;Fin;Imp;6
Vitor Roque;A;BRA;S;21;D;N;Fin;Res;0
