Milan;ITA;89;San Siro;Rúben Amorim;PRT;B50909;050505;75500
Lorenzo Torriani;G;ITA;N;21;D;N;Ref;Fle;0
Mike Maignan;G;FRA;S;31;D;S;Ref;Fle;1
Pietro Terracciano;G;ITA;N;36;D;N;Col;Con;0
Davide Bartesaghi;L;ITA;N;20;E;S;Pos;For;0
Diego Moreira;L;BEL;N;21;E;N;Cru;Agi;0
Pervis Estupiñán;L;ECU;N;28;E;N;Cru;Res;0
Fikayo Tomori;Z;ENG;N;28;D;S;Mar;Vel;4
Filippo Terracciano;Z;ITA;N;23;D;N;Ant;Vel;0
Koni De Winter;Z;BEL;N;24;D;S;Des;Imp;0
Mario Gila;Z;ESP;N;25;D;N;Des;Con;0
Matteo Gabbia;Z;ITA;N;26;D;S;Pos;Con;0
Sankhoun Diawara;Z;FRA;N;20;E;N;Mar;Res;0
Strahinja Pavlović;Z;SRB;N;25;E;S;Cab;For;0
Ardon Jashari;V;CHE;N;23;E;N;Des;Res;0
Warren Bondo;V;FRA;N;22;D;N;Des;Agi;0
Youssouf Fofana;V;FRA;N;27;D;S;Mar;For;0
Adrien Rabiot;M;FRA;N;31;E;S;Arm;Res;0
Alexis Saelemaekers;M;BEL;N;27;D;S;Arm;Agi;0
Alphadjo Cissè;M;ITA;N;19;D;N;Fin;Agi;0
Christian Comotto;M;ITA;N;18;D;N;Pas;Vis;0
Loftus-Cheek;M;ENG;N;30;D;S;Chu;Res;0
Omari Hutchinson;M;ENG;N;22;E;N;Dri;Agi;0
Yunus Musah;M;USA;N;23;D;N;Pas;Cri;0
Christian Pulisic;P;USA;N;27;D;S;Dri;Ace;0
Samuel Chukwueze;P;NGA;N;27;E;N;Fin;Cri;0
Francesco Camarda;A;ITA;N;18;D;N;Fin;Imp;0
Gonçalo Ramos;A;PRT;N;25;D;N;Cab;For;0
