Atlético da Serra;BRA;62;Estádio Atlético;Técnico de exemplo;BRA;ef4444;171717;12517
Enzo Costa;GOL;BRA;N;20;D;S;;;0;66;80;7800;3397000
João Silva;ZAG;BRA;N;19;D;S;;;0;60;60;6500;1740000
Gabriel Mendes;ZAG;BRA;N;27;D;S;;;0;64;69;7400;1954000
Enzo Ferreira;LAT;BRA;N;23;D;S;;;0;61;67;6700;2194000
Lucas Nunes;LAT;BRA;N;25;D;S;;;0;58;59;6100;1288000
Lucas Costa;VOL;BRA;N;21;D;S;;;0;67;81;8100;3553000
Hugo Gomes;MC;BRA;N;34;D;S;;;0;62;63;6900;794000
Davi Ferreira;MC;BRA;N;30;D;S;;;0;59;64;6300;1198000
Hugo Almeida;MC;BRA;N;18;D;S;;;0;60;60;6500;1740000
Hugo Lima;ATA;BRA;N;24;D;S;;;0;57;59;5800;1262000
Mateus Oliveira;ATA;BRA;N;24;D;S;;;0;62;62;6900;1523000
Lucas Lima;GOL;BRA;N;30;D;N;;;0;65;65;7600;1373000
Lucas Silva;ZAG;BRA;N;26;D;N;;;0;62;65;6900;1675000
João Costa;MC;BRA;N;30;D;N;;;0;67;67;8100;1504000
Vitor Dias;MC;BRA;N;27;D;N;;;0;66;71;7800;2143000
Rafael Dias;ATA;BRA;N;20;D;N;;;0;61;71;6700;2438000
