Aurora FC;BRA;62;Arena da Aurora;Técnico de exemplo;BRA;ffd43b;151b2b;15305
Felipe Almeida;GOL;BRA;N;20;D;S;;;0;59;69;6300;2206000
Gabriel Silva;ZAG;BRA;N;24;D;S;;;0;57;58;5800;1223000
Vitor Oliveira;ZAG;BRA;N;21;D;S;;;0;59;70;6300;2261000
Felipe Silva;LAT;BRA;N;25;D;S;;;0;59;62;6300;1443000
Vitor Nunes;LAT;BRA;N;23;D;S;;;0;65;76;7600;3023000
Mateus Dias;VOL;BRA;N;18;D;S;;;0;68;70;8300;2702000
Léo Gomes;MC;BRA;N;34;D;S;;;0;62;67;6900;896000
Gabriel Almeida;MC;BRA;N;31;D;S;;;0;63;67;7100;1417000
Hugo Mendes;MC;BRA;N;34;D;S;;;0;66;67;7800;957000
Rafael Costa;ATA;BRA;N;33;D;S;;;0;55;60;5400;625000
Mateus Almeida;ATA;BRA;N;18;D;S;;;0;67;79;8100;3392000
Mateus Rocha;GOL;BRA;N;26;D;N;;;0;62;62;6900;1523000
Enzo Dias;ZAG;BRA;N;19;D;N;;;0;62;76;6900;2816000
João Barbosa;MC;BRA;N;21;D;N;;;0;63;77;7100;2954000
Rafael Ferreira;MC;BRA;N;21;D;N;;;0;59;63;6300;1875000
Lucas Ferreira;ATA;BRA;N;24;D;N;;;0;67;72;8100;2242000
